Time,Date,Day of the week,Traffic Situation,vehicle_count,queue_length,avg_speed_kmph,avg_wait_time_s,predicted_increase_target
12:00:00 AM,10,Tuesday,normal,41.0,0.0,50.0,0.0,11.0
12:15:00 AM,10,Tuesday,normal,52.0,0.0,50.0,0.0,0.0
12:30:00 AM,10,Tuesday,normal,46.0,0.0,50.0,0.0,4.0
12:45:00 AM,10,Tuesday,normal,50.0,0.0,50.0,0.0,0.0
1:00:00 AM,10,Tuesday,normal,48.0,0.0,50.0,0.0,8.0
1:15:00 AM,10,Tuesday,normal,56.0,0.0,50.0,0.0,0.0
1:30:00 AM,10,Tuesday,normal,45.0,0.0,50.0,0.0,0.0
1:45:00 AM,10,Tuesday,normal,36.0,0.0,50.0,0.0,0.0
2:00:00 AM,10,Tuesday,normal,33.0,0.0,50.0,0.0,14.0
2:15:00 AM,10,Tuesday,normal,47.0,0.0,50.0,0.0,8.0
2:30:00 AM,10,Tuesday,normal,55.0,0.0,50.0,0.0,0.0
2:45:00 AM,10,Tuesday,normal,44.0,0.0,50.0,0.0,0.0
3:00:00 AM,10,Tuesday,normal,44.0,0.0,50.0,0.0,1.0
3:15:00 AM,10,Tuesday,normal,45.0,0.0,50.0,0.0,0.0
3:30:00 AM,10,Tuesday,normal,41.0,0.0,50.0,0.0,10.0
3:45:00 AM,10,Tuesday,normal,51.0,0.0,50.0,0.0,51.0
4:00:00 AM,10,Tuesday,low,102.0,0.0,50.0,0.0,2.0
4:15:00 AM,10,Tuesday,normal,104.0,0.0,50.0,0.0,7.0
4:30:00 AM,10,Tuesday,low,111.0,0.0,50.0,0.0,0.0
4:45:00 AM,10,Tuesday,low,98.0,0.0,50.0,0.0,16.0
5:00:00 AM,10,Tuesday,normal,114.0,0.0,50.0,0.0,1.0
5:15:00 AM,10,Tuesday,normal,115.0,0.0,50.0,0.0,0.0
5:30:00 AM,10,Tuesday,normal,112.0,0.0,50.0,0.0,35.0
5:45:00 AM,10,Tuesday,normal,147.0,0.0,50.0,0.0,5.0
6:00:00 AM,10,Tuesday,normal,152.0,0.0,50.0,0.0,0.0
6:15:00 AM,10,Tuesday,normal,124.0,0.0,50.0,0.0,19.0
6:30:00 AM,10,Tuesday,normal,143.0,0.0,50.0,0.0,23.0
6:45:00 AM,10,Tuesday,normal,166.0,0.0,50.0,0.0,0.0
7:00:00 AM,10,Tuesday,normal,155.0,0.0,50.0,0.0,0.0
7:15:00 AM,10,Tuesday,normal,150.0,0.0,50.0,0.0,0.0
7:30:00 AM,10,Tuesday,normal,134.0,0.0,50.0,0.0,68.0
7:45:00 AM,10,Tuesday,heavy,202.0,21.999999999999993,31.666666666666675,54.99999999999998,0.0
8:00:00 AM,10,Tuesday,heavy,184.0,4.000000000000001,46.666666666666664,10.000000000000002,9.0
8:15:00 AM,10,Tuesday,heavy,193.0,12.999999999999984,39.166666666666686,32.49999999999996,0.0
8:30:00 AM,10,Tuesday,normal,159.0,0.0,50.0,0.0,27.0
8:45:00 AM,10,Tuesday,heavy,186.0,5.9999999999999885,45.00000000000001,14.99999999999997,0.0
9:00:00 AM,10,Tuesday,normal,113.0,0.0,50.0,0.0,0.0
9:15:00 AM,10,Tuesday,low,60.0,0.0,50.0,0.0,53.0
9:30:00 AM,10,Tuesday,high,113.0,0.0,50.0,0.0,0.0
9:45:00 AM,10,Tuesday,low,96.0,0.0,50.0,0.0,0.0
10:00:00 AM,10,Tuesday,low,92.0,0.0,50.0,0.0,0.0
10:15:00 AM,10,Tuesday,normal,78.0,0.0,50.0,0.0,0.0
10:30:00 AM,10,Tuesday,low,78.0,0.0,50.0,0.0,10.0
10:45:00 AM,10,Tuesday,normal,88.0,0.0,50.0,0.0,0.0
11:00:00 AM,10,Tuesday,normal,78.0,0.0,50.0,0.0,9.0
11:15:00 AM,10,Tuesday,normal,87.0,0.0,50.0,0.0,0.0
11:30:00 AM,10,Tuesday,normal,62.0,0.0,50.0,0.0,27.0
11:45:00 AM,10,Tuesday,normal,89.0,0.0,50.0,0.0,0.0
12:00:00 PM,10,Tuesday,normal,87.0,0.0,50.0,0.0,0.0
12:15:00 PM,10,Tuesday,normal,82.0,0.0,50.0,0.0,18.0
12:30:00 PM,10,Tuesday,normal,100.0,0.0,50.0,0.0,0.0
12:45:00 PM,10,Tuesday,normal,95.0,0.0,50.0,0.0,40.0
1:00:00 PM,10,Tuesday,normal,135.0,0.0,50.0,0.0,0.0
1:15:00 PM,10,Tuesday,low,108.0,0.0,50.0,0.0,0.0
1:30:00 PM,10,Tuesday,normal,80.0,0.0,50.0,0.0,21.0
1:45:00 PM,10,Tuesday,normal,101.0,0.0,50.0,0.0,0.0
2:00:00 PM,10,Tuesday,normal,62.0,0.0,50.0,0.0,78.0
2:15:00 PM,10,Tuesday,high,140.0,0.0,50.0,0.0,0.0
2:30:00 PM,10,Tuesday,normal,119.0,0.0,50.0,0.0,0.0
2:45:00 PM,10,Tuesday,normal,116.0,0.0,50.0,0.0,0.0
3:00:00 PM,10,Tuesday,normal,42.0,0.0,50.0,0.0,54.0
3:15:00 PM,10,Tuesday,normal,96.0,0.0,50.0,0.0,0.0
3:30:00 PM,10,Tuesday,normal,94.0,0.0,50.0,0.0,101.0
3:45:00 PM,10,Tuesday,heavy,195.0,14.999999999999996,37.5,37.499999999999986,17.0
4:00:00 PM,10,Tuesday,heavy,212.0,31.999999999999982,23.33333333333335,79.99999999999996,0.0
4:15:00 PM,10,Tuesday,heavy,203.0,23.0,30.833333333333336,57.5,0.0
4:30:00 PM,10,Tuesday,heavy,188.0,8.000000000000002,43.333333333333336,20.000000000000004,4.0
4:45:00 PM,10,Tuesday,heavy,192.0,12.000000000000002,40.0,30.000000000000004,35.0
5:00:00 PM,10,Tuesday,heavy,227.0,47.0,10.833333333333334,117.5,0.0
5:15:00 PM,10,Tuesday,normal,151.0,0.0,50.0,0.0,51.0
5:30:00 PM,10,Tuesday,heavy,202.0,21.999999999999993,31.666666666666675,54.99999999999998,0.0
5:45:00 PM,10,Tuesday,heavy,179.0,0.0,50.0,0.0,0.0
6:00:00 PM,10,Tuesday,high,162.0,0.0,50.0,0.0,3.0
6:15:00 PM,10,Tuesday,normal,165.0,0.0,50.0,0.0,0.0
6:30:00 PM,10,Tuesday,normal,124.0,0.0,50.0,0.0,4.0
6:45:00 PM,10,Tuesday,normal,128.0,0.0,50.0,0.0,31.0
7:00:00 PM,10,Tuesday,high,159.0,0.0,50.0,0.0,0.0
7:15:00 PM,10,Tuesday,normal,100.0,0.0,50.0,0.0,40.0
7:30:00 PM,10,Tuesday,normal,140.0,0.0,50.0,0.0,6.0
7:45:00 PM,10,Tuesday,normal,146.0,0.0,50.0,0.0,0.0
8:00:00 PM,10,Tuesday,normal,115.0,0.0,50.0,0.0,0.0
8:15:00 PM,10,Tuesday,normal,112.0,0.0,50.0,0.0,0.0
8:30:00 PM,10,Tuesday,normal,92.0,0.0,50.0,0.0,43.0
8:45:00 PM,10,Tuesday,high,135.0,0.0,50.0,0.0,0.0
9:00:00 PM,10,Tuesday,high,133.0,0.0,50.0,0.0,0.0
9:15:00 PM,10,Tuesday,normal,121.0,0.0,50.0,0.0,17.0
9:30:00 PM,10,Tuesday,normal,138.0,0.0,50.0,0.0,0.0
9:45:00 PM,10,Tuesday,normal,42.0,0.0,50.0,0.0,2.0
10:00:00 PM,10,Tuesday,normal,44.0,0.0,50.0,0.0,2.0
10:15:00 PM,10,Tuesday,normal,46.0,0.0,50.0,0.0,0.0
10:30:00 PM,10,Tuesday,normal,41.0,0.0,50.0,0.0,4.0
10:45:00 PM,10,Tuesday,normal,45.0,0.0,50.0,0.0,10.0
11:00:00 PM,10,Tuesday,normal,55.0,0.0,50.0,0.0,0.0
11:15:00 PM,10,Tuesday,normal,43.0,0.0,50.0,0.0,0.0
11:30:00 PM,10,Tuesday,normal,32.0,0.0,50.0,0.0,10.0
11:45:00 PM,10,Tuesday,normal,42.0,0.0,50.0,0.0,0.0
12:00:00 AM,11,Wednesday,normal,41.0,0.0,50.0,0.0,6.0
12:15:00 AM,11,Wednesday,normal,47.0,0.0,50.0,0.0,0.0
12:30:00 AM,11,Wednesday,normal,47.0,0.0,50.0,0.0,0.0
12:45:00 AM,11,Wednesday,normal,36.0,0.0,50.0,0.0,0.0
1:00:00 AM,11,Wednesday,normal,29.0,0.0,50.0,0.0,7.0
1:15:00 AM,11,Wednesday,normal,36.0,0.0,50.0,0.0,12.0
1:30:00 AM,11,Wednesday,normal,48.0,0.0,50.0,0.0,0.0
1:45:00 AM,11,Wednesday,normal,47.0,0.0,50.0,0.0,0.0
2:00:00 AM,11,Wednesday,normal,47.0,0.0,50.0,0.0,4.0
2:15:00 AM,11,Wednesday,normal,51.0,0.0,50.0,0.0,0.0
2:30:00 AM,11,Wednesday,normal,38.0,0.0,50.0,0.0,1.0
2:45:00 AM,11,Wednesday,normal,39.0,0.0,50.0,0.0,5.0
3:00:00 AM,11,Wednesday,normal,44.0,0.0,50.0,0.0,0.0
3:15:00 AM,11,Wednesday,normal,41.0,0.0,50.0,0.0,10.0
3:30:00 AM,11,Wednesday,normal,51.0,0.0,50.0,0.0,0.0
3:45:00 AM,11,Wednesday,normal,43.0,0.0,50.0,0.0,52.0
4:00:00 AM,11,Wednesday,low,95.0,0.0,50.0,0.0,3.0
4:15:00 AM,11,Wednesday,normal,98.0,0.0,50.0,0.0,14.0
4:30:00 AM,11,Wednesday,normal,112.0,0.0,50.0,0.0,0.0
4:45:00 AM,11,Wednesday,low,100.0,0.0,50.0,0.0,0.0
5:00:00 AM,11,Wednesday,low,72.0,0.0,50.0,0.0,41.0
